Query,Higher_nontarget_bit_sum
Smic.gene17177.mRNA1,False
Smic.gene17210.mRNA1,False
Smic.gene17228.mRNA1,False
Smic.gene17229.mRNA1,False
Smic.gene17234.mRNA1,False
Smic.gene17248.mRNA1,False
Smic.gene17298.mRNA1,False
Smic.gene17304.mRNA1,False
Smic.gene1734.mRNA1,False
Smic.gene17352.mRNA1,False
Smic.gene17354.mRNA1,False
Smic.gene17467.mRNA1,False
Smic.gene17476.mRNA1,False
Smic.gene17522.mRNA1,False
Smic.gene17525.mRNA1,False
Smic.gene17532.mRNA1,False
Smic.gene17537.mRNA1,False
Smic.gene17541.mRNA1,False
Smic.gene17550.mRNA1,False
Smic.gene17610.mRNA1,False
Smic.gene17629.mRNA1,False
Smic.gene17643.mRNA1,False
Smic.gene17665.mRNA1,False
Smic.gene17693.mRNA1,False
Smic.gene17722.mRNA1,False
Smic.gene17744.mRNA1,False
Smic.gene17770.mRNA1,False
Smic.gene17829.mRNA1,False
Smic.gene17874.mRNA1,False
Smic.gene1789.mRNA1,False
Smic.gene1801.mRNA1,False
Smic.gene18085.mRNA1,False
Smic.gene18097.mRNA1,True
Smic.gene18136.mRNA1,False
Smic.gene18143.mRNA1,False
Smic.gene18164.mRNA1,False
Smic.gene18170.mRNA1,False
Smic.gene18191.mRNA1,False
Smic.gene18214.mRNA1,False
Smic.gene18241.mRNA1,False
Smic.gene18281.mRNA1,False
Smic.gene18282.mRNA1,False
Smic.gene18352.mRNA1,False
Smic.gene18427.mRNA1,False
Smic.gene18433.mRNA1,False
Smic.gene18446.mRNA1,False
Smic.gene18498.mRNA1,False
Smic.gene185.mRNA1,True
Smic.gene18505.mRNA1,False
Smic.gene18562.mRNA1,False
Smic.gene18593.mRNA1,False
Smic.gene18607.mRNA1,False
Smic.gene18610.mRNA1,False
Smic.gene18619.mRNA1,False
Smic.gene18656.mRNA1,False
Smic.gene18717.mRNA1,False
Smic.gene18719.mRNA1,False
Smic.gene18753.mRNA1,False
Smic.gene18753.mRNASmic.gene18778.mRNA1,False
Smic.gene18778.mRNA1,False
Smic.gene18780.mRNA1,False
Smic.gene18781.mRNA1,False
Smic.gene18794.mRNA1,False
Smic.gene18803.mRNA1,False
Smic.gene18831.mRNA1,False
Smic.gene18873.mRNA1,False
Smic.gene18879.mRNA1,False
Smic.gene19034.mRNA1,False
Smic.gene19065.mRNA1,False
Smic.gene19160.mRNA1,False
Smic.gene19168.mRNA1,False
Smic.gene19233.mRNA1,False
Smic.gene19249.mRNA1,True
Smic.gene19250.mRNA1,True
Smic.gene19267.mRNA1,False
Smic.gene19312.mRNA1,False
Smic.gene19364.mRNA1,False
Smic.gene19383.mRNA1,False
Smic.gene19440.mRNA1,False
Smic.gene19454.mRNA1,False
Smic.gene19469.mRNA1,False
Smic.gene19524.mRNA1,False
Smic.gene19640.mRNA1,False
Smic.gene19660.mRNA1,False
Smic.gene19704.mRNA1,False
Smic.gene19817.mRNA1,False
Smic.gene19823.mRNA1,False
Smic.gene19852.mRNA1,False
Smic.gene19879.mRNA1,False
Smic.gene19895.mRNA1,False
Smic.gene19931.mRNA1,False
Smic.gene19977.mRNA1,False
Smic.gene19992.mRNA1,False
Smic.gene20018.mRNA1,False
Smic.gene20085.mRNA1,False
Smic.gene20094.mRNA1,False
Smic.gene20101.mRNA1,False
Smic.gene20150.mRNA1,False
Smic.gene20192.mRNA1,False
Smic.gene20198.mRNA1,False
Smic.gene20203.mRNA1,False
Smic.gene2021.mRNA1,False
Smic.gene20223.mRNA1,False
Smic.gene20250.mRNA1,False
Smic.gene20295.mRNA1,False
Smic.gene20333.mRNA1,False
Smic.gene20381.mRNA1,False
Smic.gene20482.mRNA1,False
Smic.gene20599.mRNA1,False
Smic.gene20613.mRNA1,False
Smic.gene20711.mRNA1,False
Smic.gene20741.mRNA1,False
Smic.gene20763.mRNA1,False
Smic.gene20764.mRNA1,False
Smic.gene20805.mRNA1,False
Smic.gene20882.mRNA1,False
Smic.gene20891.mRNA1,False
Smic.gene20905.mRNA1,False
Smic.gene20962.mRNA1,False
Smic.gene20972.mRNA1,False
Smic.gene20981.mRNA1,False
Smic.gene21028.mRNA1,False
Smic.gene21054.mRNA1,False
Smic.gene21076.mRNA1,False
Smic.gene21120.mRNA1,False
Smic.gene21186.mRNA1,False
Smic.gene21193.mRNA1,False
Smic.gene21354.mRNA1,False
Smic.gene21394.mRNA1,False
Smic.gene2142.mRNA1,False
Smic.gene21441.mRNA1,False
Smic.gene21451.mRNA1,False
Smic.gene21556.mRNA1,False
Smic.gene21589.mRNA1,False
Smic.gene21597.mRNA1,False
Smic.gene21602.mRNA1,False
Smic.gene2165.mRNA1,False
Smic.gene21671.mRNA1,False
Smic.gene21683.mRNA1,False
Smic.gene21696.mRNA1,False
Smic.gene21726.mRNA1,False
Smic.gene21727.mRNA1,False
Smic.gene21732.mRNA1,False
Smic.gene21755.mRNA1,False
Smic.gene21790.mRNA1,False
Smic.gene21792.mRNA1,False
Smic.gene21803.mRNA1,False
Smic.gene21819.mRNA1,False
Smic.gene21823.mRNA1,False
Smic.gene21833.mRNA1,False
Smic.gene2186.mRNA1,False
Smic.gene21873.mRNA1,False
Smic.gene21883.mRNA1,False
Smic.gene21886.mRNA1,False
Smic.gene21969.mRNA1,False
Smic.gene21994.mRNA1,False
Smic.gene22015.mRNA1,False
Smic.gene22082.mRNA1,False
Smic.gene22190.mRNA1,False
Smic.gene22207.mRNA1,False
Smic.gene22308.mRNA1,True
Smic.gene22318.mRNA1,False
Smic.gene22321.mRNA1,False
Smic.gene2233.mRNA1,False
Smic.gene22345.mRNA1,False
Smic.gene22456.mRNA1,False
Smic.gene22469.mRNA1,False
Smic.gene22499.mRNA1,False
Smic.gene22511.mRNA1,False
Smic.gene22514.mRNA1,False
Smic.gene22617.mRNA1,False
Smic.gene22640.mRNA1,False
Smic.gene22650.mRNA1,False
Smic.gene22656.mRNA1,False
Smic.gene22722.mRNA1,False
Smic.gene22726.mRNA1,False
Smic.gene22727.mRNA1,False
Smic.gene22764.mRNA1,False
Smic.gene22819.mRNA1,False
Smic.gene22831.mRNA1,False
Smic.gene22841.mRNA1,False
Smic.gene22876.mRNA1,False
Smic.gene22889.mRNA1,True
Smic.gene22917.mRNA1,False
Smic.gene22918.mRNA1,False
Smic.gene2300.mRNA1,False
Smic.gene23063.mRNA1,False
Smic.gene23102.mRNA1,False
Smic.gene23105.mRNA1,False
Smic.gene23112.mRNA1,False
Smic.gene23134.mRNA1,False
Smic.gene23176.mRNA1,False
Smic.gene23260.mRNA1,False
Smic.gene23275.mRNA1,False
Smic.gene23281.mRNA1,False
Smic.gene23296.mRNA1,False
Smic.gene23297.mRNA1,False
Smic.gene233.mRNA1,False
Smic.gene23324.mRNA1,False
Smic.gene23325.mRNA1,False
Smic.gene23353.mRNA1,False
Smic.gene23376.mRNA1,False
Smic.gene23386.mRNA1,False
Smic.gene23429.mRNA1,False
Smic.gene23439.mRNA1,False
Smic.gene23445.mRNA1,False
Smic.gene23461.mRNA1,False
Smic.gene23462.mRNA1,False
Smic.gene23478.mRNA1,False
Smic.gene23581.mRNA1,False
Smic.gene23598.mRNA1,False
Smic.gene23600.mRNA1,False
Smic.gene2362.mRNA1,False
Smic.gene23651.mRNA1,False
Smic.gene23663.mRNA1,False
Smic.gene23690.mRNA1,False
Smic.gene23730.mRNA1,False
Smic.gene23733.mRNA1,False
Smic.gene23734.mRNA1,False
Smic.gene23778.mRNA1,False
Smic.gene23793.mRNA1,False
Smic.gene2383.mRNA1,False
Smic.gene23844.mRNA1,False
Smic.gene23854.mRNA1,False
Smic.gene23893.mRNA1,False
Smic.gene23930.mRNA1,False
Smic.gene24024.mRNA1,False
Smic.gene24065.mRNA1,False
Smic.gene2409.mRNA1,False
Smic.gene24149.mRNA1,False
Smic.gene24152.mRNA1,False
Smic.gene24155.mRNA1,False
Smic.gene24176.mRNA1,False
Smic.gene24190.mRNA1,False
Smic.gene24195.mRNA1,False
Smic.gene24238.mRNA1,False
Smic.gene24253.mRNA1,False
Smic.gene24257.mRNA1,False
Smic.gene24268.mRNA1,False
Smic.gene24287.mRNA1,False
Smic.gene24289.mRNA1,False
Smic.gene24304.mRNA1,False
Smic.gene24369.mRNA1,False
Smic.gene24413.mRNA1,False
Smic.gene24490.mRNA1,False
Smic.gene24497.mRNA1,False
Smic.gene24538.mRNA1,False
Smic.gene24580.mRNA1,False
Smic.gene24670.mRNA1,False
Smic.gene24692.mRNA1,False
Smic.gene24697.mRNA1,False
Smic.gene24703.mRNA1,False
Smic.gene24754.mRNA1,False
Smic.gene24780.mRNA1,False
Smic.gene24785.mRNA1,False
Smic.gene24874.mRNA1,False
Smic.gene24912.mRNA1,False
Smic.gene24932.mRNA1,False
Smic.gene24933.mRNA1,False
Smic.gene24958.mRNA1,False
Smic.gene25013.mRNA1,False
Smic.gene25196.mRNA1,False
Smic.gene25197.mRNA1,False
Smic.gene25217.mRNA1,False
Smic.gene25220.mRNA1,False
Smic.gene25247.mRNA1,False
Smic.gene25292.mRNA1,False
Smic.gene25295.mRNA1,False
Smic.gene25325.mRNA1,False
Smic.gene25374.mRNA1,False
Smic.gene25398.mRNA1,False
Smic.gene25422.mRNA1,False
Smic.gene25424.mRNA1,False
Smic.gene25464.mRNA1,False
Smic.gene2550.mRNA1,True
Smic.gene25509.mRNA1,False
Smic.gene25511.mRNA1,False
Smic.gene25563.mRNA1,False
Smic.gene25581.mRNA1,False
Smic.gene25586.mRNA1,False
Smic.gene25592.mRNA1,False
Smic.gene25625.mRNA1,False
Smic.gene25748.mRNA1,False
Smic.gene25865.mRNA1,False
Smic.gene25976.mRNA1,False
Smic.gene26000.mRNA1,False
Smic.gene26043.mRNA1,False
Smic.gene26067.mRNA1,False
Smic.gene26071.mRNA1,False
Smic.gene26096.mRNA1,False
Smic.gene26098.mRNA1,False
Smic.gene26171.mRNA1,False
Smic.gene2625.mRNA1,False
Smic.gene26261.mRNA1,False
Smic.gene26370.mRNA1,False
Smic.gene26408.mRNA1,False
Smic.gene26490.mRNA1,False
Smic.gene26554.mRNA1,False
Smic.gene26606.mRNA1,False
Smic.gene26616.mRNA1,False
Smic.gene26694.mRNA1,False
Smic.gene26699.mRNA1,False
Smic.gene26785.mRNA1,False
Smic.gene26804.mRNA1,False
Smic.gene26880.mRNA1,False
Smic.gene27067.mRNA1,False
Smic.gene27075.mRNA1,False
Smic.gene27087.mRNA1,False
Smic.gene27089.mRNA1,False
Smic.gene2709.mRNA1,False
Smic.gene27215.mRNA1,False
Smic.gene27256.mRNA1,False
Smic.gene2726.mRNA1,False
Smic.gene27285.mRNA1,False
Smic.gene2733.mRNA1,False
Smic.gene27348.mRNA1,False
Smic.gene27417.mRNA1,False
Smic.gene27492.mRNA1,False
Smic.gene2751.mRNA1,False
Smic.gene27541.mRNA1,False
Smic.gene27566.mRNA1,False
Smic.gene27569.mRNA1,False
Smic.gene27586.mRNA1,False
Smic.gene27627.mRNA1,False
Smic.gene27697.mRNA1,False
Smic.gene27708.mRNA1,False
Smic.gene2775.mRNA1,True
Smic.gene27945.mRNA1,False
Smic.gene27955.mRNA1,False
Smic.gene27962.mRNA1,False
Smic.gene28031.mRNA1,False
Smic.gene28099.mRNA1,False
Smic.gene28100.mRNA1,False
Smic.gene28155.mRNA1,False
Smic.gene2832.mRNA1,False
Smic.gene2842.mRNA1,False
Smic.gene28431.mRNA1,False
Smic.gene28459.mRNA1,False
Smic.gene2849.mRNA1,False
Smic.gene2857.mRNA1,False
Smic.gene28776.mRNA1,False
Smic.gene2881.mRNA1,False
Smic.gene28833.mRNA1,False
Smic.gene28860.mRNA1,False
Smic.gene290.mRNA1,False
Smic.gene29006.mRNA1,False
Smic.gene29026.mRNA1,False
Smic.gene2920.mRNA1,False
Smic.gene2924.mRNA1,False
Smic.gene29467.mRNA1,False
Smic.gene29514.mRNA1,False
Smic.gene29650.mRNA1,True
Smic.gene2985.mRNA1,False
Smic.gene2994.mRNA1,False
Smic.gene312.mRNA1,False
Smic.gene3240.mRNA1,True
Smic.gene3241.mRNA1,True
Smic.gene3253.mRNA1,False
Smic.gene3385.mRNA1,False
Smic.gene3390.mRNA1,False
Smic.gene3395.mRNA1,False
Smic.gene3420.mRNA1,False
Smic.gene3542.mRNA1,False
Smic.gene3573.mRNA1,False
Smic.gene3590.mRNA1,False
Smic.gene3620.mRNA1,False
Smic.gene3687.mRNA1,False
Smic.gene3692.mRNA1,False
Smic.gene37.mRNA1,False
Smic.gene3718.mRNA1,False
Smic.gene3720.mRNA1,False
Smic.gene3876.mRNA1,False
Smic.gene3903.mRNA1,False
Smic.gene3931.mRNA1,False
Smic.gene3940.mRNA1,False
Smic.gene3955.mRNA1,False
Smic.gene396.mRNA1,False
Smic.gene4031.mRNA1,False
Smic.gene4037.mRNA1,False
Smic.gene4040.mRNA1,False
Smic.gene4043.mRNA1,False
Smic.gene4069.mRNA1,True
Smic.gene4245.mRNA1,False
Smic.gene4277.mRNA1,False
Smic.gene436.mRNA1,False
Smic.gene4372.mRNA1,False
Smic.gene441.mRNA1,False
Smic.gene4416.mRNA1,False
Smic.gene4456.mRNA1,True
Smic.gene4474.mRNA1,False
Smic.gene4517.mRNA1,False
Smic.gene4521.mRNA1,False
Smic.gene4534.mRNA1,False
Smic.gene4653.mRNA1,False
Smic.gene4715.mRNA1,False
Smic.gene4794.mRNA1,False
Smic.gene4830.mRNA1,False
Smic.gene4874.mRNA1,False
Smic.gene4880.mRNA1,False
Smic.gene4923.mRNA1,False
Smic.gene5146.mRNA1,False
Smic.gene5183.mRNA1,False
Smic.gene5234.mRNA1,False
Smic.gene5274.mRNA1,False
Smic.gene5329.mRNA1,False
Smic.gene5354.mRNA1,False
Smic.gene5406.mRNA1,False
Smic.gene553.mRNA1,False
Smic.gene5618.mRNA1,False
Smic.gene5658.mRNA1,False
Smic.gene5671.mRNA1,False
Smic.gene5683.mRNA1,False
Smic.gene5772.mRNA1,False
Smic.gene5782.mRNA1,False
Smic.gene5857.mRNA1,False
Smic.gene59.mRNA1,False
Smic.gene5950.mRNA1,False
Smic.gene6011.mRNA1,False
Smic.gene6014.mRNA1,False
Smic.gene6022.mRNA1,False
Smic.gene6035.mRNA1,False
Smic.gene6041.mRNA1,False
Smic.gene6049.mRNA1,False
Smic.gene6070.mRNA1,False
Smic.gene6082.mRNA1,False
Smic.gene6114.mRNA1,False
Smic.gene6122.mRNA1,False
Smic.gene613.mRNA1,False
Smic.gene6150.mRNA1,False
Smic.gene6177.mRNA1,False
Smic.gene6191.mRNA1,False
Smic.gene6197.mRNA1,False
Smic.gene6212.mRNA1,False
Smic.gene6272.mRNA1,False
Smic.gene6273.mRNA1,False
Smic.gene6287.mRNA1,False
Smic.gene6296.mRNA1,False
Smic.gene631.mRNA1,False
Smic.gene6353.mRNA1,False
Smic.gene6394.mRNA1,False
Smic.gene6438.mRNA1,False
Smic.gene6526.mRNA1,False
Smic.gene6645.mRNA1,False
Smic.gene672.mRNA1,False
Smic.gene6747.mRNA1,False
Smic.gene6754.mRNA1,False
Smic.gene6774.mRNA1,True
Smic.gene6846.mRNA1,False
Smic.gene6852.mRNA1,False
Smic.gene6888.mRNA1,False
Smic.gene6916.mRNA1,False
Smic.gene6949.mRNA1,False
Smic.gene695.mRNA1,False
Smic.gene6965.mRNA1,False
Smic.gene7032.mRNA1,False
Smic.gene7153.mRNA1,False
Smic.gene72.mRNA1,False
Smic.gene7216.mRNA1,False
Smic.gene7262.mRNA1,False
Smic.gene7297.mRNA1,False
Smic.gene7305.mRNA1,False
Smic.gene7342.mRNA1,False
Smic.gene7346.mRNA1,False
Smic.gene7366.mRNA1,False
Smic.gene7375.mRNA1,False
Smic.gene741.mRNA1,False
Smic.gene7432.mRNA1,False
Smic.gene7479.mRNA1,False
Smic.gene7494.mRNA1,False
Smic.gene7508.mRNA1,False
Smic.gene7522.mRNA1,False
Smic.gene7542.mRNA1,False
Smic.gene7545.mRNA1,False
Smic.gene7547.mRNA1,False
Smic.gene7551.mRNA1,False
Smic.gene7563.mRNA1,False
Smic.gene7594.mRNA1,False
Smic.gene7673.mRNA1,False
Smic.gene7765.mRNA1,False
Smic.gene7784.mRNA1,False
Smic.gene7835.mRNA1,False
Smic.gene7854.mRNA1,True
Smic.gene7856.mRNA1,False
Smic.gene7905.mRNA1,False
Smic.gene7913.mRNA1,False
Smic.gene793.mRNA1,False
Smic.gene794.mRNA1,False
Smic.gene7993.mRNA1,False
Smic.gene809.mRNA1,False
Smic.gene8109.mRNA1,False
Smic.gene8118.mRNA1,False
Smic.gene8124.mRNA1,False
Smic.gene8197.mRNA1,False
Smic.gene8212.mRNA1,False
Smic.gene8214.mRNA1,False
Smic.gene8225.mRNA1,False
Smic.gene8294.mRNA1,False
Smic.gene8336.mRNA1,False
Smic.gene8383.mRNA1,False
Smic.gene8405.mRNA1,False
Smic.gene8490.mRNA1,False
Smic.gene8513.mRNA1,False
Smic.gene8519.mRNA1,False
Smic.gene8553.mRNA1,False
Smic.gene8585.mRNA1,False
Smic.gene8616.mRNA1,False
Smic.gene8778.mRNA1,True
Smic.gene8780.mRNA1,False
Smic.gene8861.mRNA1,False
Smic.gene8873.mRNA1,False
Smic.gene8886.mRNA1,False
Smic.gene8897.mRNA1,False
Smic.gene8980.mRNA1,False
Smic.gene9003.mRNA1,False
Smic.gene9011.mRNA1,False
Smic.gene9031.mRNA1,False
Smic.gene9050.mRNA1,False
Smic.gene9106.mRNA1,False
Smic.gene9131.mRNA1,False
Smic.gene9135.mRNA1,False
Smic.gene9149.mRNA1,False
Smic.gene9197.mRNA1,False
Smic.gene9273.mRNA1,False
Smic.gene9433.mRNA1,False
Smic.gene9434.mRNA1,False
Smic.gene9438.mRNA1,False
Smic.gene955.mRNA1,False
Smic.gene9573.mRNA1,False
Smic.gene9612.mRNA1,False
Smic.gene9705.mRNA1,False
Smic.gene9726.mRNA1,False
Smic.gene9742.mRNA1,False
Smic.gene9754.mRNA1,False
Smic.gene9867.mRNA1,False
Smic.gene9901.mRNA1,False
Smic.gene9949.mRNA1,False
